age,experience,education,job_title,location,country,company_size,skills,salary
55,6,Bachelor,Medical Technician,Austin,USA,Medium (200-1000),"Teamwork, Excel, SQL, Communication, PowerPoint",132824
45,22,PhD,UX Designer,Atlanta,USA,Large (1000+),"SQL, Financial Modeling, PowerPoint, Teamwork, JavaScript",338409
40,11,Bachelor,Teacher,Perth,Australia,Medium (200-1000),"Excel, SQL, PowerPoint, Python, Financial Modeling, Communication",114407
35,30,High School,Product Manager,Seattle,USA,Medium (200-1000),"Machine Learning, Communication, SQL, AWS, Financial Modeling, PowerPoint",278480
23,4,Bachelor,Financial Analyst,Adelaide,Australia,Medium (200-1000),"SQL, Communication, Financial Modeling, Machine Learning, Excel, Leadership",114231
48,9,PhD,Accountant,Hyderabad,India,Small (50-200),"Communication, SQL, Project Management, Machine Learning, Excel, Python",106684
46,32,Bachelor,Financial Analyst,Adelaide,Australia,Small (50-200),"Communication, Project Management, SQL, Python, Financial Modeling",169666
35,14,Bachelor,Product Manager,Bangalore,India,Large (1000+),"Python, Machine Learning, Teamwork, PowerPoint, Project Management, SQL, JavaScript, AWS",147468
49,27,Bachelor,DevOps Engineer,Remote,India,Large (1000+),"PowerPoint, Communication, Machine Learning, SQL, Excel",131650
26,24,Bachelor,Medical Technician,Bangalore,India,Startup (1-50),"Financial Modeling, SQL, AWS, Leadership, Teamwork, PowerPoint, Machine Learning, Excel",132894
22,20,High School,Financial Analyst,Atlanta,USA,Large (1000+),"Leadership, AWS, Python, Teamwork, Excel, SQL",175526
30,0,PhD,Medical Technician,London,UK,Large (1000+),"JavaScript, AWS, Python, Project Management, Leadership, Machine Learning, Communication, Excel",178504
26,29,Master,Sales Executive,Hyderabad,India,Large (1000+),"Python, Leadership, Project Management, JavaScript, Financial Modeling, Teamwork",163868
48,33,Bachelor,Financial Analyst,Perth,Australia,Startup (1-50),"Communication, PowerPoint, Financial Modeling, Excel, Teamwork, SQL, AWS",175730
45,4,PhD,Data Scientist,Edinburgh,UK,Startup (1-50),"SQL, Excel, Python, JavaScript, AWS, Teamwork, Financial Modeling, Leadership",150502
24,26,Master,UX Designer,Melbourne,Australia,Small (50-200),"PowerPoint, Machine Learning, Project Management, Financial Modeling, Communication, SQL",312166
47,21,High School,Nurse,Adelaide,Australia,Medium (200-1000),"Project Management, PowerPoint, Leadership, Excel, SQL, Teamwork",137986
47,13,Bachelor,Accountant,Remote,India,Medium (200-1000),"PowerPoint, Project Management, Communication, AWS, JavaScript, Python, Financial Modeling",83005
38,38,High School,Pharmacist,Atlanta,USA,Startup (1-50),"Excel, Financial Modeling, Python, Communication, PowerPoint",198851
58,5,Master,Data Scientist,Brisbane,Australia,Medium (200-1000),"Leadership, PowerPoint, Machine Learning, SQL, AWS, Financial Modeling",162034
30,2,Bachelor,Investment Banker,Remote,Australia,Startup (1-50),"JavaScript, Leadership, PowerPoint, SQL, Machine Learning, Financial Modeling, Python, Project Management",94788
32,7,Bachelor,Medical Technician,Remote,USA,Large (1000+),"Teamwork, Excel, PowerPoint, JavaScript, SQL, Financial Modeling, Project Management, Leadership",165316
32,35,Bachelor,Product Manager,Manchester,UK,Startup (1-50),"Communication, Excel, Financial Modeling, Machine Learning, Python, AWS",185656
30,10,Bachelor,Financial Analyst,Remote,India,Medium (200-1000),"Excel, PowerPoint, Leadership, Project Management, AWS",75483
43,28,Bachelor,Risk Manager,Birmingham,UK,Startup (1-50),"Financial Modeling, PowerPoint, Leadership, Python, AWS, SQL, Excel",131447
39,39,Bachelor,Investment Banker,Brisbane,Australia,Small (50-200),"Excel, Communication, Machine Learning, AWS, JavaScript, SQL",227824
27,5,Bachelor,Investment Banker,Perth,Australia,Small (50-200),"SQL, Machine Learning, Project Management, Financial Modeling, Leadership",109461
54,3,Bachelor,Doctor,Mumbai,India,Startup (1-50),"Project Management, SQL, Machine Learning, Python, Teamwork, JavaScript",70711
23,26,Master,DevOps Engineer,Edinburgh,UK,Large (1000+),"JavaScript, Python, Teamwork, AWS, Machine Learning, SQL, PowerPoint, Project Management",280244
39,24,Bachelor,Investment Banker,Chennai,India,Large (1000+),"Project Management, Excel, Machine Learning, Teamwork, Python, SQL, PowerPoint, Leadership",128776
50,13,PhD,Nurse,Remote,USA,Medium (200-1000),"SQL, Financial Modeling, JavaScript, Teamwork, Machine Learning, Communication",223181
30,9,Master,Risk Manager,Chennai,India,Medium (200-1000),"Teamwork, AWS, JavaScript, Python, Project Management, Financial Modeling",90630
45,24,Bachelor,Financial Analyst,Sydney,Australia,Startup (1-50),"Machine Learning, Project Management, Financial Modeling, Teamwork, AWS",213988
43,27,Bachelor,Investment Banker,Bangalore,India,Startup (1-50),"Project Management, SQL, AWS, Teamwork, Python",112590
40,17,Bachelor,Marketing Manager,Remote,UK,Small (50-200),"Financial Modeling, Project Management, Communication, PowerPoint, Teamwork",97556
54,22,PhD,Accountant,Sydney,Australia,Startup (1-50),"AWS, SQL, Leadership, Project Management, Teamwork, JavaScript, Python",299431
29,33,Master,Teacher,Remote,Australia,Large (1000+),"Financial Modeling, Communication, Python, Machine Learning, PowerPoint, SQL, Project Management, Leadership",231972
40,35,Master,Data Scientist,Hyderabad,India,Startup (1-50),"Excel, Teamwork, Communication, Python, JavaScript, Financial Modeling, AWS",168563
56,21,Master,Sales Executive,Edinburgh,UK,Small (50-200),"Financial Modeling, AWS, Leadership, PowerPoint, JavaScript, Communication, Project Management",158558
43,3,Bachelor,Medical Technician,Hyderabad,India,Small (50-200),"Machine Learning, PowerPoint, Project Management, Communication, Financial Modeling, Teamwork",78738
43,20,Bachelor,Financial Analyst,Melbourne,Australia,Medium (200-1000),"Machine Learning, Communication, Project Management, Financial Modeling, Teamwork",220577
57,25,High School,Nurse,Chennai,India,Large (1000+),"Teamwork, Leadership, Python, AWS, JavaScript, Financial Modeling, Communication, Project Management",132656
41,18,Bachelor,Nurse,Edinburgh,UK,Startup (1-50),"Communication, Machine Learning, AWS, Financial Modeling, Excel, PowerPoint, Python",159772
46,38,High School,UX Designer,Brisbane,Australia,Large (1000+),"Excel, AWS, Financial Modeling, Communication, PowerPoint, Teamwork",264224
37,23,Master,Sales Executive,Remote,USA,Medium (200-1000),"Excel, JavaScript, Teamwork, Python, Leadership, Machine Learning",195005
53,9,Bachelor,Sales Executive,Bristol,UK,Medium (200-1000),"Python, AWS, Excel, Leadership, Communication, Financial Modeling",95423
56,17,Bachelor,Accountant,Edinburgh,UK,Startup (1-50),"Communication, Project Management, Leadership, Excel, Python, AWS, PowerPoint, Teamwork",119380
34,17,Bachelor,Medical Technician,Remote,Australia,Small (50-200),"Python, Excel, AWS, Project Management, Teamwork, Communication, Financial Modeling",158558
50,15,Master,Marketing Manager,Remote,UK,Startup (1-50),"Teamwork, Financial Modeling, Communication, SQL, Leadership, Machine Learning, Project Management",104655
39,36,High School,Software Engineer,London,UK,Startup (1-50),"Python, PowerPoint, Excel, SQL, Leadership",192584
45,10,PhD,Data Scientist,Chennai,India,Startup (1-50),"Communication, Python, PowerPoint, Teamwork, SQL, Leadership, Project Management",105050
24,5,Master,Marketing Manager,San Francisco,USA,Medium (200-1000),"PowerPoint, Financial Modeling, JavaScript, AWS, Teamwork",206910
46,8,Master,UX Designer,Bangalore,India,Small (50-200),"Excel, PowerPoint, JavaScript, Leadership, Python, Financial Modeling, AWS",129879
55,23,Bachelor,Financial Analyst,Hyderabad,India,Large (1000+),"Machine Learning, PowerPoint, Communication, AWS, Financial Modeling, Teamwork",136493
24,39,Master,Medical Technician,Remote,USA,Startup (1-50),"Excel, Communication, Teamwork, PowerPoint, Machine Learning, AWS, SQL, JavaScript",291844
52,22,High School,Nurse,Manchester,UK,Startup (1-50),"Excel, Machine Learning, Communication, JavaScript, AWS, Leadership",127077
27,18,Master,Doctor,Melbourne,Australia,Startup (1-50),"Teamwork, Communication, Python, Machine Learning, PowerPoint, SQL, Project Management, Financial Modeling",240625
38,9,Bachelor,Teacher,Hyderabad,India,Large (1000+),"Leadership, Excel, SQL, Financial Modeling, Project Management, Python, Teamwork, JavaScript",100321
55,28,PhD,Product Manager,Atlanta,USA,Startup (1-50),"Leadership, Project Management, JavaScript, Communication, Python, PowerPoint, Financial Modeling",277344
37,36,Master,Financial Analyst,Atlanta,USA,Medium (200-1000),"Communication, JavaScript, Project Management, Teamwork, AWS",263954
48,7,Bachelor,Sales Executive,Seattle,USA,Startup (1-50),"Leadership, Python, Excel, Teamwork, Project Management, Communication, SQL, AWS",125655
57,8,Bachelor,Data Scientist,Brisbane,Australia,Large (1000+),"PowerPoint, Leadership, AWS, Teamwork, Machine Learning",191767
59,7,Master,Risk Manager,Sydney,Australia,Startup (1-50),"Communication, Machine Learning, JavaScript, PowerPoint, Project Management, Leadership, Financial Modeling, SQL",172720
54,12,High School,Accountant,Manchester,UK,Small (50-200),"Project Management, Communication, Financial Modeling, Excel, JavaScript, Machine Learning",89342
27,8,High School,Risk Manager,Melbourne,Australia,Small (50-200),"JavaScript, Python, Project Management, Machine Learning, Teamwork, Financial Modeling, SQL, Excel",134150
35,10,Master,Pharmacist,Adelaide,Australia,Medium (200-1000),"SQL, Project Management, Python, Communication, Financial Modeling",143682
39,5,Master,UX Designer,Sydney,Australia,Large (1000+),"AWS, SQL, PowerPoint, Project Management, Python, Excel, Financial Modeling",267774
45,19,Master,Pharmacist,Perth,Australia,Small (50-200),"Teamwork, PowerPoint, Communication, Excel, Leadership, Financial Modeling",204323
33,2,Master,Investment Banker,Bangalore,India,Startup (1-50),"Communication, Machine Learning, Project Management, Python, Excel, Teamwork",82054
35,38,Bachelor,Data Scientist,London,UK,Medium (200-1000),"Communication, Leadership, Excel, Financial Modeling, AWS",306324
52,10,Master,Teacher,Bristol,UK,Large (1000+),"Excel, PowerPoint, SQL, Leadership, Communication, Teamwork, Machine Learning, Financial Modeling",147110
58,36,Bachelor,Sales Executive,Perth,Australia,Startup (1-50),"Machine Learning, Financial Modeling, PowerPoint, Leadership, JavaScript, Python, Project Management",162474
56,5,Bachelor,UX Designer,Seattle,USA,Startup (1-50),"Excel, Communication, Teamwork, Python, Project Management, PowerPoint, Machine Learning, Financial Modeling",157297
52,22,Master,Medical Technician,Melbourne,Australia,Large (1000+),"AWS, Communication, Leadership, Machine Learning, Excel, Project Management, Teamwork, Python",395316
47,9,High School,Sales Executive,Sydney,Australia,Small (50-200),"SQL, Financial Modeling, Teamwork, Communication, JavaScript, Excel, PowerPoint, Machine Learning",120282
49,1,PhD,Financial Analyst,San Francisco,USA,Medium (200-1000),"Python, PowerPoint, Machine Learning, Financial Modeling, Leadership",278725
39,12,Master,Medical Technician,Remote,USA,Medium (200-1000),"SQL, Excel, Financial Modeling, Leadership, AWS, Machine Learning, Communication",206152
56,37,High School,Product Manager,Remote,UK,Large (1000+),"Communication, PowerPoint, Leadership, Python, AWS, Excel",196676
33,4,Bachelor,UX Designer,Perth,Australia,Medium (200-1000),"Communication, Leadership, Python, Financial Modeling, AWS, Project Management, Machine Learning",149488
36,3,PhD,Data Scientist,Austin,USA,Small (50-200),"Excel, Leadership, Python, JavaScript, PowerPoint",188807
47,24,Bachelor,Accountant,Melbourne,Australia,Medium (200-1000),"Machine Learning, SQL, JavaScript, Excel, Leadership, Teamwork, Project Management",246620
43,20,Master,Risk Manager,New York,USA,Small (50-200),"Project Management, Excel, PowerPoint, Teamwork, AWS",341226
31,24,High School,DevOps Engineer,New York,USA,Small (50-200),"Excel, Leadership, AWS, Communication, Financial Modeling, Project Management, JavaScript",300316
53,10,Bachelor,Teacher,San Francisco,USA,Startup (1-50),"Excel, AWS, Python, Leadership, Project Management",185406
45,18,Master,Financial Analyst,Adelaide,Australia,Small (50-200),"Project Management, Communication, Excel, SQL, Teamwork, PowerPoint, Leadership, Machine Learning",158324
34,1,Master,Pharmacist,Adelaide,Australia,Medium (200-1000),"Project Management, Python, JavaScript, PowerPoint, AWS, SQL",103719
55,22,Bachelor,Investment Banker,Melbourne,Australia,Small (50-200),"Excel, SQL, Machine Learning, JavaScript, Financial Modeling",219067
44,27,PhD,UX Designer,Perth,Australia,Large (1000+),"Project Management, Machine Learning, Financial Modeling, Communication, Teamwork",339266
35,35,Bachelor,Medical Technician,Atlanta,USA,Small (50-200),"Leadership, JavaScript, Communication, PowerPoint, Financial Modeling, SQL, Excel",243667
43,14,PhD,UX Designer,Birmingham,UK,Large (1000+),"Python, Project Management, JavaScript, AWS, Leadership, PowerPoint",202494
30,14,Bachelor,Data Scientist,Edinburgh,UK,Medium (200-1000),"PowerPoint, Communication, Machine Learning, AWS, Financial Modeling, Excel, JavaScript, Python",171210
37,2,PhD,Financial Analyst,Atlanta,USA,Startup (1-50),"Communication, Machine Learning, Python, Excel, Financial Modeling, Teamwork, Leadership, PowerPoint",124684
41,17,Bachelor,Financial Analyst,Seattle,USA,Large (1000+),"AWS, Communication, Financial Modeling, Python, Excel, SQL",260042
52,14,PhD,Risk Manager,San Francisco,USA,Medium (200-1000),"Financial Modeling, SQL, Excel, Teamwork, JavaScript, Leadership",359435
59,38,Master,UX Designer,Remote,India,Large (1000+),"Python, AWS, Teamwork, SQL, Project Management",184535
42,37,Bachelor,Doctor,Bristol,UK,Medium (200-1000),"Communication, Excel, Leadership, PowerPoint, Project Management",235227
47,3,Master,HR Specialist,Edinburgh,UK,Large (1000+),"AWS, Machine Learning, SQL, Communication, Teamwork",128492
50,32,Master,Investment Banker,Brisbane,Australia,Startup (1-50),"Teamwork, SQL, Leadership, Machine Learning, JavaScript, AWS, Project Management, PowerPoint",237752
22,22,Master,Medical Technician,Seattle,USA,Large (1000+),"Leadership, Project Management, SQL, Excel, PowerPoint",382822
57,10,PhD,Accountant,Brisbane,Australia,Medium (200-1000),"Communication, PowerPoint, Machine Learning, Python, AWS, Leadership",214244
46,8,Bachelor,Product Manager,Remote,Australia,Startup (1-50),"AWS, JavaScript, Machine Learning, Python, Financial Modeling, SQL",116184
34,31,Master,Data Scientist,London,UK,Medium (200-1000),"Teamwork, Leadership, JavaScript, Python, SQL, AWS",324424
41,20,Master,Teacher,Adelaide,Australia,Startup (1-50),"Machine Learning, AWS, Leadership, Financial Modeling, Excel, JavaScript",137206
28,22,Master,Nurse,Remote,UK,Large (1000+),"Excel, Leadership, PowerPoint, Python, Project Management, Financial Modeling, Communication, Machine Learning",229686
54,2,Bachelor,Accountant,Bangalore,India,Large (1000+),"PowerPoint, SQL, Excel, Project Management, Machine Learning",96122
46,9,Master,Teacher,Delhi,India,Medium (200-1000),"JavaScript, Machine Learning, Teamwork, Python, Leadership",78197
41,10,Master,Financial Analyst,Hyderabad,India,Large (1000+),"PowerPoint, Communication, Python, Project Management, JavaScript, SQL, Machine Learning, Excel",119884
42,9,Master,DevOps Engineer,Atlanta,USA,Large (1000+),"Python, Leadership, Teamwork, Project Management, Excel, Communication, SQL",218609
51,17,Master,Sales Executive,Edinburgh,UK,Medium (200-1000),"Communication, Python, SQL, Financial Modeling, Project Management",142424
54,17,Bachelor,Sales Executive,Brisbane,Australia,Medium (200-1000),"Financial Modeling, Teamwork, SQL, JavaScript, Machine Learning, PowerPoint, AWS",158607
32,38,Bachelor,HR Specialist,Austin,USA,Startup (1-50),"SQL, AWS, Financial Modeling, PowerPoint, Teamwork, Leadership",204549
56,25,Master,UX Designer,Atlanta,USA,Large (1000+),"JavaScript, Financial Modeling, Project Management, Python, Machine Learning",310949
52,19,Master,DevOps Engineer,Birmingham,UK,Startup (1-50),"Leadership, JavaScript, Financial Modeling, Python, Project Management, SQL",148544
30,35,High School,Nurse,Austin,USA,Startup (1-50),"Python, Teamwork, Leadership, Project Management, JavaScript",228985
35,36,PhD,UX Designer,Mumbai,India,Medium (200-1000),"Leadership, SQL, PowerPoint, Excel, Financial Modeling, Teamwork, AWS, JavaScript",240429
28,21,Bachelor,Sales Executive,Atlanta,USA,Large (1000+),"Financial Modeling, Machine Learning, AWS, JavaScript, SQL, Teamwork, Python, Excel",192523
31,20,Bachelor,HR Specialist,Manchester,UK,Startup (1-50),"Python, Project Management, JavaScript, SQL, Teamwork, AWS, Leadership, Communication",103223
53,6,Master,DevOps Engineer,Remote,Australia,Small (50-200),"Teamwork, PowerPoint, SQL, Python, Communication, Machine Learning, Leadership, Project Management",142900
23,24,High School,Product Manager,Sydney,Australia,Large (1000+),"JavaScript, Financial Modeling, Project Management, Communication, SQL, Teamwork, Python, Leadership",273230
33,9,High School,Risk Manager,Atlanta,USA,Large (1000+),"Communication, PowerPoint, JavaScript, Python, Machine Learning, Leadership, Teamwork",132270
59,32,Bachelor,Investment Banker,Perth,Australia,Startup (1-50),"PowerPoint, Project Management, Teamwork, SQL, Financial Modeling, Communication, Python",167850
42,29,Master,DevOps Engineer,Manchester,UK,Large (1000+),"Leadership, Financial Modeling, SQL, Excel, Teamwork, AWS, Python",291470
56,27,Master,Financial Analyst,Edinburgh,UK,Small (50-200),"Python, PowerPoint, Communication, Leadership, AWS, Machine Learning, Excel",196264
42,27,Master,Software Engineer,Chennai,India,Startup (1-50),"Financial Modeling, Communication, Teamwork, AWS, JavaScript",129289
48,34,High School,HR Specialist,Edinburgh,UK,Small (50-200),"JavaScript, Leadership, SQL, Communication, Machine Learning, Python, Financial Modeling, AWS",145930
36,20,High School,Teacher,Birmingham,UK,Large (1000+),"Communication, Teamwork, AWS, JavaScript, Financial Modeling",101643
55,37,Bachelor,Investment Banker,Delhi,India,Small (50-200),"Teamwork, JavaScript, PowerPoint, Machine Learning, Leadership, SQL, Excel",124861
40,8,Master,Medical Technician,London,UK,Medium (200-1000),"Leadership, SQL, Python, Communication, Teamwork, JavaScript, Financial Modeling, Excel",191008
54,24,Master,Product Manager,Remote,India,Startup (1-50),"Project Management, Excel, Machine Learning, Leadership, PowerPoint",108638
37,28,Master,HR Specialist,Brisbane,Australia,Small (50-200),"Teamwork, Excel, Python, PowerPoint, Machine Learning, Project Management, AWS, Financial Modeling",194229
30,8,Master,Sales Executive,Sydney,Australia,Small (50-200),"Python, PowerPoint, Teamwork, Leadership, Communication, JavaScript, AWS",171162
25,6,Bachelor,DevOps Engineer,Adelaide,Australia,Small (50-200),"JavaScript, Project Management, Leadership, AWS, Excel, Python",123330
43,24,High School,Pharmacist,Edinburgh,UK,Small (50-200),"PowerPoint, Excel, SQL, AWS, Machine Learning, Communication, Financial Modeling",151259
41,12,Bachelor,Sales Executive,Remote,USA,Small (50-200),"Excel, Teamwork, Project Management, Machine Learning, SQL, Communication, Financial Modeling",117014
30,23,High School,Risk Manager,Adelaide,Australia,Startup (1-50),"SQL, AWS, Python, Financial Modeling, Leadership, Excel, Machine Learning",117167
22,39,Bachelor,Pharmacist,Adelaide,Australia,Large (1000+),"SQL, Communication, AWS, Excel, Project Management, Machine Learning, Teamwork, Financial Modeling",316843
41,17,Bachelor,DevOps Engineer,Austin,USA,Small (50-200),"Excel, PowerPoint, Communication, JavaScript, Teamwork",185956
50,9,Bachelor,Nurse,Remote,UK,Startup (1-50),"JavaScript, Teamwork, SQL, Python, Leadership, Financial Modeling, Machine Learning",102538
37,29,Bachelor,Sales Executive,Birmingham,UK,Startup (1-50),"AWS, SQL, Financial Modeling, Machine Learning, Communication, Teamwork, Excel",113538
42,17,Bachelor,Medical Technician,Atlanta,USA,Medium (200-1000),"JavaScript, Excel, Communication, PowerPoint, Project Management, Python",185392
57,32,Bachelor,Data Scientist,Adelaide,Australia,Large (1000+),"Project Management, Excel, Communication, SQL, Teamwork, Machine Learning, AWS, PowerPoint",247602
52,26,Bachelor,Sales Executive,Bristol,UK,Startup (1-50),"Machine Learning, Communication, Leadership, SQL, JavaScript, Project Management, Teamwork, PowerPoint",121627
45,2,PhD,DevOps Engineer,Remote,India,Small (50-200),"PowerPoint, Python, AWS, Project Management, Financial Modeling, JavaScript, Teamwork",92507
58,36,Bachelor,Financial Analyst,Birmingham,UK,Large (1000+),"Machine Learning, SQL, Financial Modeling, Project Management, Leadership",206587
43,22,Bachelor,Doctor,Adelaide,Australia,Small (50-200),"SQL, Excel, Leadership, Financial Modeling, Communication",166266
38,34,Master,Investment Banker,New York,USA,Small (50-200),"SQL, Leadership, Excel, Teamwork, Machine Learning",408960
33,20,Master,Accountant,San Francisco,USA,Large (1000+),"PowerPoint, Teamwork, Communication, JavaScript, AWS, SQL, Financial Modeling, Machine Learning",433935
57,37,Bachelor,Marketing Manager,Bangalore,India,Medium (200-1000),"Project Management, Teamwork, Excel, PowerPoint, Leadership, Financial Modeling",134437
38,16,Master,Investment Banker,Remote,India,Medium (200-1000),"Python, Financial Modeling, AWS, Leadership, Communication, Machine Learning, Project Management",102072
37,11,Master,Product Manager,London,UK,Large (1000+),"Project Management, JavaScript, AWS, PowerPoint, Communication, Excel, Python",252836
36,36,High School,Investment Banker,Sydney,Australia,Startup (1-50),"Project Management, JavaScript, Communication, Excel, Teamwork",206362
56,7,Bachelor,Medical Technician,Melbourne,Australia,Startup (1-50),"PowerPoint, Teamwork, JavaScript, AWS, Leadership",133966
23,25,Bachelor,Marketing Manager,Melbourne,Australia,Medium (200-1000),"Machine Learning, AWS, SQL, Teamwork, Leadership, Python, Project Management",210982
42,18,Bachelor,Sales Executive,Remote,India,Medium (200-1000),"Python, Machine Learning, JavaScript, Communication, PowerPoint, Leadership",81067
45,14,Bachelor,DevOps Engineer,Mumbai,India,Startup (1-50),"Project Management, JavaScript, Leadership, Excel, AWS, Python, Machine Learning",104852
50,25,Master,Financial Analyst,Mumbai,India,Startup (1-50),"Teamwork, Excel, AWS, SQL, PowerPoint, Leadership",123741
34,18,PhD,HR Specialist,Brisbane,Australia,Large (1000+),"Leadership, AWS, Teamwork, Machine Learning, Excel, JavaScript",252271
45,10,PhD,Marketing Manager,London,UK,Startup (1-50),"Financial Modeling, SQL, PowerPoint, Machine Learning, Project Management, AWS, Excel",161165
35,34,Bachelor,Accountant,New York,USA,Startup (1-50),"Communication, PowerPoint, JavaScript, Teamwork, Python",328309
55,8,Bachelor,Accountant,Edinburgh,UK,Large (1000+),"SQL, PowerPoint, Machine Learning, Leadership, Communication, AWS, Python, Project Management",146904
31,9,High School,UX Designer,Melbourne,Australia,Small (50-200),"JavaScript, Financial Modeling, SQL, Teamwork, Python",155510
50,24,PhD,Financial Analyst,Perth,Australia,Startup (1-50),"Project Management, AWS, Communication, PowerPoint, Teamwork, Machine Learning, SQL",217000
53,24,Master,Accountant,Remote,USA,Large (1000+),"Teamwork, SQL, Excel, Financial Modeling, Python, Machine Learning, Project Management, Leadership",273557
24,28,Bachelor,Data Scientist,Adelaide,Australia,Small (50-200),"Excel, Project Management, Machine Learning, SQL, Communication, JavaScript, Teamwork, Python",188115
43,16,Bachelor,Pharmacist,London,UK,Medium (200-1000),"SQL, Excel, Python, Project Management, Teamwork",184047
59,23,Master,Marketing Manager,Remote,USA,Medium (200-1000),"Excel, Leadership, Financial Modeling, Communication, PowerPoint, Machine Learning",182514
42,4,Master,Teacher,Bristol,UK,Small (50-200),"Project Management, Teamwork, AWS, PowerPoint, SQL, JavaScript, Machine Learning",98382
37,3,PhD,HR Specialist,Brisbane,Australia,Large (1000+),"Python, Financial Modeling, AWS, Teamwork, Leadership, Excel, PowerPoint, Machine Learning",170347
50,33,Master,Nurse,Melbourne,Australia,Startup (1-50),"SQL, Project Management, Communication, JavaScript, Machine Learning, Python, Excel",359392
45,21,Master,Pharmacist,New York,USA,Startup (1-50),"PowerPoint, Communication, Python, Excel, Machine Learning, Project Management, AWS, SQL",391918
24,12,High School,DevOps Engineer,Edinburgh,UK,Startup (1-50),"Excel, Communication, Financial Modeling, SQL, JavaScript, Leadership, AWS",107337
48,25,Bachelor,Medical Technician,Austin,USA,Large (1000+),"Financial Modeling, Excel, Machine Learning, Communication, JavaScript, PowerPoint, Project Management",340043
26,0,Bachelor,Data Scientist,San Francisco,USA,Large (1000+),"Leadership, Python, Excel, PowerPoint, SQL, AWS, Project Management, Teamwork",232273
28,6,Master,UX Designer,Birmingham,UK,Startup (1-50),"JavaScript, PowerPoint, Project Management, Communication, Leadership, Excel",104533
56,36,Bachelor,Marketing Manager,Hyderabad,India,Large (1000+),"Project Management, Excel, PowerPoint, Teamwork, Communication, JavaScript, Financial Modeling, Python",148703
27,36,Master,Investment Banker,Remote,India,Medium (200-1000),"JavaScript, Python, Leadership, SQL, Project Management",129384
